customer_id,age,gender,location,tenure_months,estimated_income
1,56.0,Male,Urban,56,40774.82915140907
2,69.0,Female,Urban,48,53383.84590045546
3,46.0,Other,Urban,56,77802.26800912808
4,32.0,Female,Rural,44,71778.1894119136
5,60.0,Female,Rural,13,59687.43285298927
6,25.0,Male,Urban,4,38470.425072573526
7,38.0,Male,Urban,31,16434.497752519223
8,,Male,Urban,9,55601.36592397124
9,36.0,Female,Urban,48,
10,40.0,Female,Urban,33,62560.95597201183
11,28.0,nan,Urban,37,31087.72468192747
12,28.0,Male,Urban,53,42414.28402270707
13,41.0,Male,Suburban,37,67837.12107582205
14,53.0,Female,Suburban,24,71700.79910876241
15,57.0,Female,Suburban,25,64019.19900668673
16,41.0,Male,Urban,51,53068.90252353698
17,,Female,Rural,41,36258.711987578936
18,39.0,Female,Rural,29,79077.82987531691
19,19.0,Female,Urban,59,74539.4966167662
20,41.0,Female,Urban,40,48517.13857626917
21,61.0,Male,Urban,51,76664.35956077682
22,47.0,Other,Urban,50,58618.43756764901
23,55.0,Female,Urban,47,46353.548641736634
24,19.0,Male,Urban,36,
25,38.0,Male,Urban,15,62003.34519771017
26,50.0,Female,Urban,45,51437.8770345346
27,,Male,Urban,18,
28,39.0,Male,Rural,20,36205.71048231449
29,61.0,Female,Urban,5,76940.15472323628
30,42.0,Male,Suburban,18,69058.27182252743
31,66.0,Female,Urban,40,36607.13607732035
32,44.0,Male,Urban,1,36227.69836009083
33,59.0,Female,Urban,19,102050.68093087204
34,45.0,Male,Urban,23,69292.50411356102
35,33.0,Male,Urban,26,84190.84639222523
36,32.0,Male,Urban,49,89845.09706350829
37,64.0,Female,Urban,29,
38,68.0,Female,Suburban,59,94855.17867989853
39,61.0,Male,Urban,34,38443.63269698256
40,69.0,Female,Suburban,19,74584.0089265775
41,20.0,Female,Urban,48,57680.39583018703
42,54.0,Other,Suburban,18,74469.83347878794
43,68.0,Male,Urban,2,55785.84304521681
44,24.0,Female,Suburban,27,70980.45269076855
45,38.0,Male,Rural,6,87238.01601299256
46,26.0,Male,Rural,39,82393.03350603714
47,56.0,Other,Urban,6,58761.91065129304
48,35.0,Female,Suburban,59,40928.576329240954
49,21.0,Male,Urban,6,54048.94111076808
50,42.0,Male,Rural,31,68883.41017608388
51,31.0,Female,Urban,41,73040.02537615524
52,67.0,Female,Urban,40,81400.39529567696
53,26.0,Male,Urban,30,45378.86217962774
54,43.0,Female,Urban,56,41353.1473589605
55,19.0,Male,Suburban,54,39604.37997561116
56,37.0,Male,Rural,21,56058.801012996264
57,45.0,Female,Suburban,41,64284.38618286547
58,64.0,Male,Suburban,44,67399.1477037241
59,24.0,Male,Suburban,18,31712.457487682248
60,61.0,Female,Urban,23,40932.721661440104
61,25.0,Female,Urban,38,45948.90116389764
62,64.0,Male,Urban,23,95152.06984089458
63,52.0,Female,Urban,28,52378.077145369876
64,31.0,Female,Urban,36,30465.311276237575
65,34.0,Male,Urban,25,67629.73980319688
66,53.0,Female,Urban,7,57827.58668096857
67,67.0,Male,Urban,18,36501.81597622736
68,57.0,Male,Rural,20,50527.04271956677
69,21.0,Female,Urban,5,53172.37527706183
